Category,URL,Label,subdomain_length,url_length,path_length,url_entropy,length_ratio,at_count,dash_count,punctuation_count,other_tlds_count,is_ip,suspicious_words_count,euclidean_distance,kolmogorov_smirnov,kullback_leibler
HAM,https://urlscan.io/result/e6cb5bed-fa87-4317-bfc3-4d21f13025ef/...added on May 30th 2023 5:19 PM,0,7,96,78,4.900350267253536,1.2307692307692308,0,4,15,1,0,0,0.15951610855612322,0.07491666666666666,-2.765175982465179
HAM,https://www.mercadopago.com.br/added on May 26th 2023 3:21 PM,0,3,61,31,4.545010698005822,1.967741935483871,0,0,8,0,0,0,0.16333698943506425,0.09421311475409835,0.3690090958702247
HAM,https://onedrive.live.com/about/es-us-signin/added on May 26th 2023 5:19 AM,0,8,75,50,4.7589676110621815,1.5,0,2,11,0,0,1,0.11768850127915358,0.060333333333333336,-3.7737567742264444
HAM,http://url.zp.edu.ua/added on May 26th 2023 5:05 AM,0,3,51,31,4.377541027906639,1.6451612903225807,0,0,8,0,0,0,0.17950182594366224,0.0877843137254902,3.809758800352752
HAM,https://bitflyer.com/en-us/added on May 26th 2023 2:04 AM,0,8,57,37,4.657108435065549,1.5405405405405406,0,1,8,0,0,0,0.13788997943893772,0.07436842105263158,-3.0215219969638945
HAM,https://phishtank.org/phish_detail.php?phish_id=8153631...added on May 24th 2023 1:26 AM,0,9,88,17,4.661112306979657,5.176470588235294,0,0,14,1,0,0,0.17238495385053065,0.10427272727272727,-0.8190214105788614
HAM,https://polo.feathr.co/v1/analytics/crumb?flvr=email_link_click&t_...added on May 23rd 2023 8:17 AM,0,4,99,19,4.932513822914137,5.2105263157894735,0,0,18,0,0,0,0.14581156215120175,0.0966969696969697,-4.346731445599542
HAM,https://quttera.com/added on May 19th 2023 1:46 PM,0,7,50,31,4.53617463006964,1.6129032258064515,0,0,6,0,0,0,0.1570135344484672,0.087,1.5002928415583145
HAM,http://www.quttera.com/added on May 19th 2023 1:46 PM,0,3,53,31,4.555487143479849,1.7096774193548387,0,0,7,0,0,0,0.1678234031421763,0.08926415094339624,2.649812634924524
HAM,https://play.google.com/store/apps/details?id=com.credit.fectivocash.l...added on May 19th 2023 3:38 AM,0,4,103,19,4.6701824169526205,5.421052631578948,0,0,17,0,0,0,0.12589877737454677,0.06874757281553398,-3.6318373632442604
HAM,https://play.google.com/store/apps/details?id=in.crazycoin.play.releas...added on May 19th 2023 3:28 AM,0,4,103,19,4.6553673439962715,5.421052631578948,0,0,17,0,0,0,0.12619080348784947,0.06874757281553398,-2.755808020832198
HAM,https://185.81.101.37/added on May 19th 2023 12:00 AM,0,3,53,32,4.316713142875063,1.65625,0,0,8,0,1,0,0.1924916971944142,0.10813207547169812,6.01454170141806
HAM,https://ethereum.org/en/added on May 17th 2023 4:10 AM,0,8,54,34,4.446939530254382,1.588235294117647,0,0,7,0,0,0,0.13179413660874462,0.0697,1.503459113611433
HAM,https://www.esfera.com.vc/p/renner/e000100117added on May 12th 2023 12:52 PM,0,3,76,51,4.555263579872066,1.4901960784313726,0,0,10,0,0,0,0.1461667666886373,0.0697,0.20582408707568056
HAM,https://www.cnbbank.com/added on May 8th 2023 11:50 PM,0,3,54,31,4.568978242583697,1.7419354838709677,0,0,7,0,0,0,0.17775890042522227,0.10848148148148148,2.7685401310826325
HAM,https://www.bigcartel.com/added on May 8th 2023 8:49 PM,0,3,55,30,4.680826531470462,1.8333333333333333,0,0,7,0,0,0,0.15288939582381736,0.09063636363636364,-2.7273544583568317
HAM,https://bigcartel.com/added on May 8th 2023 8:49 PM,0,9,51,30,4.618024606465273,1.7,0,0,6,0,0,0,0.14599612795263656,0.0877843137254902,-1.9843718159743875
HAM,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/51...added on May 8th 2023 7:42 AM,0,3,102,76,4.962839102315171,1.3421052631578947,0,4,16,1,0,0,0.16966379588238026,0.0877843137254902,-1.78260014940565
HAM,https://www.the-dressingroom.com/redirect.php?siteID=QFGLnEolOWg-n4Y11...added on May 8th 2023 7:15 AM,0,3,102,13,5.132887905922489,7.846153846153846,0,2,15,1,0,0,0.1305148696491654,0.0681764705882353,-3.2436500691768284
HAM,https://www.aidoge.comadded on May 6th 2023 7:31 PM,0,3,51,0,4.524791518187558,0.0,0,0,6,0,0,0,0.16175029674387625,0.0877843137254902,0.7206532104919576
HAM,https://bequettehomes.com//wp-admin/css/bootstrap-min.js...added on May 5th 2023 11:18 AM,0,13,89,64,4.70012353322091,1.390625,0,2,15,2,0,2,0.13219601562988045,0.07082022471910113,-2.6426525851574114
HAM,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/51...added on May 4th 2023 8:55 AM,0,3,102,76,4.959265298623012,1.3421052631578947,0,4,16,1,0,0,0.16966379588238026,0.0877843137254902,-1.78260014940565
HAM,https://www.sicoob.com.br/added on May 3rd 2023 3:18 PM,0,3,55,30,4.5353719860159165,1.8333333333333333,0,0,8,0,0,0,0.17586046426801558,0.10881818181818181,-0.8232122680697904
HAM,https://btprivacy.my.onetrust.com/ui/#/portalAccess/f800585c-2b88-4b1a...added on Apr 22nd 2023 10:57 AM,0,9,104,4,4.902047232785336,26.0,0,2,17,0,0,0,0.1577657849453052,0.09815384615384615,-3.9519617582916844
HAM,https://btprivacy.my.onetrust.com/privacyaccess/eyJhbGciOiJSUzUxMiJ9.L...added on Apr 22nd 2023 10:57 AM,0,9,104,71,4.9874110843101205,1.4647887323943662,0,0,13,2,0,0,0.15429870458525047,0.08853846153846154,-2.297347481984841
HAM,https://findomestic-test.fercam.com/added on Apr 21st 2023 2:35 AM,0,16,66,31,4.498347149399247,2.129032258064516,0,1,8,0,0,0,0.13873194999197797,0.0663939393939394,-0.35749029009414207
HAM,https://findomestic-test.fercam.com/login?ReturnUrl=%2F...added on Apr 21st 2023 2:35 AM,0,16,88,6,4.834321040333951,14.666666666666666,0,1,14,0,0,1,0.12759796916697846,0.07018181818181818,-3.2921219004642346
HAM,https://www.education.gouv.fr/added on Apr 14th 2023 12:06 AM,0,3,61,32,4.663783034035931,1.90625,0,0,8,0,0,0,0.15760967715607993,0.09421311475409835,-1.709677096958323
HAM,https://www.google.com.lb/search?q=csmoneyadded on Apr 11th 2023 3:27 PM,0,3,72,7,4.810016626466824,10.285714285714286,0,0,10,0,0,0,0.14554581180279058,0.07144444444444445,-1.197803583184109
HAM,https://www.officeppe.com/added on Apr 9th 2023 11:01 PM,0,3,56,31,4.543176573495619,1.8064516129032258,0,0,7,0,0,0,0.16884736797909933,0.07342857142857143,-0.5598645228521335
HAM,http://officeppe.com/added on Apr 9th 2023 11:01 PM,0,9,51,31,4.4167567141811475,1.6451612903225807,0,0,6,0,0,0,0.1703127991039986,0.0681764705882353,2.0756205552789635
HAM,https://makerdao.com/added on Apr 7th 2023 6:19 PM,0,8,50,30,4.5132696895151065,1.6666666666666667,0,0,6,0,0,0,0.16090136730307794,0.087,2.6160246728769336
HAM,https://www.makerdao.comadded on Apr 7th 2023 6:19 PM,0,3,53,0,4.585857718469222,0.0,0,0,6,0,0,0,0.16502718553351184,0.08926415094339624,1.8730420304944893
HAM,https://talosintelligence.com/added on Apr 7th 2023 2:13 PM,0,17,59,30,4.532664396959391,1.9666666666666666,0,0,6,0,0,0,0.12038790513091349,0.05920338983050848,-1.4223985620964827
HAM,https://bmp.dbs.moneyp.com.br/loginadded on Apr 6th 2023 12:14 PM,0,3,65,36,4.6679201204544905,1.8055555555555556,0,0,9,0,0,1,0.16862842541513623,0.09623076923076923,-2.2129740783920804
HAM,http://click-batch.hsbc.com.mx:9080/QWFHQkVEX1hdUFdLUlJQU05dQVpeXFJZVE...added on Apr 4th 2023 9:02 PM,0,11,102,67,5.1759306463691885,1.5223880597014925,0,1,13,1,0,0,0.19428956068457065,0.1073921568627451,-1.2961764451738715
HAM,https://www.hsbc.com.mx/digital/banca-por-internet/...added on Apr 4th 2023 8:31 PM,0,3,83,60,4.7584362324948115,1.3833333333333333,0,2,15,1,0,0,0.1372991068625213,0.09085542168674698,-2.9312759075450274
HAM,http://click-batch.hsbc.com.mx:9080/QWFFR0FDWl1EX1ZXVFpMUV5ARkVVWENHUV...added on Apr 4th 2023 8:31 PM,0,11,102,67,5.253129695201808,1.5223880597014925,0,1,13,1,0,0,0.20045994330455527,0.11719607843137256,-1.107071024301455
HAM,https://www2.etc-meisai.jp/added on Apr 4th 2023 2:08 AM,0,4,56,30,4.534422555715743,1.8666666666666667,0,1,8,0,0,0,0.15683490930118268,0.07342857142857143,-0.013161073298559027
HAM,https://www.nzta.govt.nz/roads-and-rail/toll-roads/...added on Apr 4th 2023 2:02 AM,0,3,83,59,4.498079118344971,1.4067796610169492,0,3,16,1,0,0,0.15741204644527962,0.11495180722891567,-1.0128424234112652
HAM,http://nzta.cc/added on Apr 4th 2023 2:02 AM,0,4,44,30,4.1635327548042556,1.4666666666666666,0,0,6,0,0,0,0.1823300805255754,0.10427272727272727,5.700893598657639
HAM,https://www.google.com/search?q=klantenservice...added on Apr 3rd 2023 5:29 AM,0,3,78,7,4.764013879113549,11.142857142857142,0,0,12,0,0,0,0.12865333256576036,0.05687948717948718,-2.922619328252291
