Label,Number of Links,Number of Domains,Number of Dots,Contains JavaScript
HAM,0,0,0,True
HAM,0,0,0,True
HAM,1,0,2,False
HAM,0,0,0,True
HAM,37,0,4,True
HAM,0,0,0,True
HAM,100,0,5,True
HAM,1,0,2,False
HAM,1,1,1,True
HAM,21,0,3,True
HAM,775,5,5,True
HAM,0,0,0,True
HAM,20,0,5,True
HAM,1475,2,5,True
HAM,270,1,4,True
HAM,0,0,0,True
HAM,0,0,0,True
HAM,68,0,4,True
HAM,274,1,7,True
HAM,0,0,0,True
HAM,0,0,0,False
HAM,63,0,2,True
HAM,1,0,2,False
HAM,39,2,5,True
HAM,0,0,0,False
HAM,1,1,2,True
HAM,0,0,0,True
HAM,1,0,0,True
HAM,43,0,4,True
HAM,37,0,4,True
HAM,1,0,1,True
HAM,0,0,0,True
HAM,0,0,0,True
HAM,0,0,0,True
HAM,13,1,191,True
HAM,0,0,0,False
HAM,1,0,2,True
HAM,2,0,0,True
HAM,1,1,1,True
HAM,150,2,6,True
HAM,61,0,8,True
HAM,36,0,4,True
HAM,0,0,0,True
HAM,3,0,4,True
HAM,8,0,21,True
HAM,61,3,3,True
HAM,1,0,1,True
HAM,36,0,2,True
HAM,1,0,2,False
HAM,1,0,2,False
HAM,1,0,2,False
HAM,144,0,3,True
HAM,1,0,2,False
HAM,0,0,0,True
HAM,1,0,0,False
HAM,0,0,0,False
HAM,0,0,0,True
HAM,4,0,2,True
HAM,153,0,3,True
HAM,195,1,7,True
HAM,1,0,2,False
HAM,502,0,4,True
HAM,180,0,4,True
HAM,1,0,0,True
HAM,45,0,7,True
HAM,0,0,0,True
HAM,145,10,4,True
HAM,1,0,0,True
HAM,0,0,0,False
HAM,0,0,0,False
HAM,237,1,5,True
HAM,75,1,2,True
HAM,7,0,3,True
HAM,180,0,4,True
HAM,210,1,5,True
HAM,0,0,0,True
HAM,7,0,1,True
HAM,1,0,1,True
HAM,29,0,4,True
HAM,150,2,6,True
HAM,31,1,4,True
HAM,184,4,4,True
HAM,105,0,3,True
HAM,1,0,2,False
HAM,0,0,0,True
HAM,1,0,0,False
HAM,47,3,4,True
HAM,37,0,4,True
HAM,5,0,1,True
HAM,33,1,3,True
HAM,0,0,0,False
HAM,0,0,0,False
HAM,0,0,0,True
HAM,36,1,2,True
HAM,0,0,0,True
HAM,1475,2,5,True
HAM,0,0,0,True
HAM,0,0,0,True
HAM,14,0,1,True
HAM,76,1,3,True
HAM,0,0,0,True
HAM,0,0,0,True
HAM,0,0,0,True
HAM,0,0,0,True
HAM,480,6,7,True
HAM,40,0,6,True
HAM,91,0,2,True
HAM,21,0,3,True
HAM,0,0,0,True
HAM,85,1,4,True
HAM,0,0,0,True
HAM,7,0,2,True
HAM,0,0,0,False
HAM,216,6,4,True
HAM,0,0,0,True
HAM,153,3,2,True
HAM,134,6,23,True
HAM,0,0,0,True
HAM,34,0,4,True
HAM,0,0,0,False
HAM,241,6,4,True
HAM,2,0,2,True
HAM,58,0,8,True
HAM,0,0,0,True
HAM,0,0,0,False
HAM,47,0,4,True
HAM,17,2,3,True
HAM,0,0,0,True
HAM,237,1,5,True
HAM,144,0,3,True
HAM,216,6,4,True
HAM,91,0,2,True
HAM,13,1,191,True
HAM,23,0,2,True
HAM,0,0,0,True
HAM,44,0,5,True
HAM,0,0,0,True
HAM,215,6,21,True
HAM,102,1,5,True
HAM,136,2,3,True
HAM,112,6,2,True
HAM,68,0,4,True
HAM,1,1,1,True
HAM,336,1,6,True
HAM,344,0,5,True
HAM,140,1,4,True
HAM,0,0,0,True
HAM,51,0,4,True
HAM,0,0,0,True
HAM,121,1,6,True
HAM,1,0,2,False
HAM,0,0,0,False
HAM,0,0,0,True
HAM,7,0,122,True
HAM,1,0,0,False
HAM,2,0,0,True
HAM,1,0,3,True
HAM,27,2,2,True
HAM,1,1,1,True
HAM,43,0,5,True
HAM,60,0,8,True
HAM,181,0,6,True
HAM,0,0,0,True
HAM,3,0,0,True
HAM,30,0,3,True
HAM,1,0,2,False
HAM,24,0,3,True
HAM,193,7,11,True
HAM,1,0,0,True
HAM,54,0,2,True
HAM,0,0,0,False
HAM,74,3,6,True
HAM,0,0,0,True
HAM,0,0,0,False
HAM,2,0,0,True
HAM,1,0,2,False
HAM,339,1,6,True
HAM,1,0,1,True
HAM,1,0,2,False
HAM,6,0,3,True
HAM,112,6,2,True
HAM,0,0,0,True
HAM,145,10,4,True
HAM,36,1,2,True
HAM,1016,0,3,True
